,회사명,종목코드,상장일
0,3R,037730.KQ,2000-07-25
1,3노드디지탈,900010.KQ,2007-08-17
2,IBKS제7호스팩,276920.KQ,2017-11-10
3,KTB드림1,042300.KQ,2000-05-26
4,KTB자산배분2,038380.KQ,2000-02-25
5,SK1호스팩,207930.KQ,2015-03-31
6,SK컴즈,066270.KQ,2003-11-07
7,경북금고,008050.KQ,1996-07-01
8,경윤하이드로,019120.KQ,1992-12-18
9,골든브릿지제2호스팩,206660.KQ,2015-02-05
10,교보성공파트너일호펀,034650.KQ,1999-03-12
11,교보성공파트너크린앤,035980.KQ,1999-10-29
12,국제종합토건,024860.KQ,1996-07-01
13,굿라이프10-MF,037510.KQ,2000-02-25
14,글로웍스,034600.KQ,1999-12-07
15,네이쳐글로벌,088020.KQ,2006-12-19
16,넷컴스토리지,037010.KQ,1999-12-21
17,뉴젠아이씨티,054150.KQ,2001-11-08
18,뉴켐진스템셀,036280.KQ,1999-12-21
19,다임알짜2호-MF,051960.KQ,2001-04-02
20,단암산업,005650.KQ,1996-07-01
21,대백쇼핑,027700.KQ,1997-01-17
22,대신증권그로쓰스팩,123550.KQ,2010-08-24
23,데코,013650.KQ,1996-01-20
24,동방티엔씨,018860.KQ,1996-07-01
25,동아일렉콤,011860.KQ,1996-07-01
26,동원뮤추얼장보고1호,034470.KQ,1999-02-18
27,드림라인,035430.KQ,1999-12-21
28,마이다스코코,040860.KQ,2000-04-28
29,맥시스템,036880.KQ,1999-12-07
30,모빌탑,085680.KQ,2006-01-25
31,무한투자,034510.KQ,2000-04-14
32,미래아이티2,040260.KQ,2000-04-28
33,미래에셋알바트로스이,035320.KQ,1999-08-13
34,미래에셋크린채권형이,036310.KQ,1999-11-12
35,미래주식1,047890.KQ,2000-09-25
36,미래하이2호,039210.KQ,2000-04-21
37,미래하이4,040950.KQ,2000-05-15
38,미래한아름2,046820.KQ,2000-09-04
39,미주실업,015060.KQ,1996-07-01
40,박현주1호,034160.KQ,1999-04-16
41,박현주3성장,037770.KQ,2000-02-25
42,박현주7성장,038940.KQ,2000-03-31
43,베스트플로우,060410.KQ,2002-05-07
44,부산방직,025270.KQ,1995-03-20
45,비엔디,047940.KQ,2001-06-21
46,비엔씨컴퍼니,058370.KQ,2002-02-19
47,사라콤,040020.KQ,2000-07-13
48,사이노젠,064060.KQ,2002-07-30
