,회사명,종목코드,상장일
0,JS전선,005560.KS,2007-11-12
1,거북선2호,101380.KS,2008-04-25
2,거북선6호,114140.KS,2009-10-01
3,교보메리츠,064900.KS,2002-01-30
4,국제관광공사,028780.KS,1966-03-18
5,굿리치경매1,085450.KS,2005-09-06
6,그린손해보험,000470.KS,1975-06-30
7,극동건설,000980.KS,1976-12-13
8,금성산업,028930.KS,1976-12-28
9,금호케미칼,014740.KS,1984-05-29
10,기라정보통신,019930.KS,1999-11-18
11,나라종금,016390.KS,1988-03-05
12,뉴맥스,014080.KS,1994-01-31
13,대덕GDS,004130.KS,1987-08-10
14,대한종금,009030.KS,1974-06-10
15,동국무역,004420.KS,1976-07-15
16,동부일렉트로닉스,001830.KS,1977-09-30
17,동북아12호선박투자,083370.KS,2005-08-29
18,동북아14호선박투자,083390.KS,2005-08-29
19,동북아9호,083120.KS,2005-05-27
20,동아콘크리트공업,029230.KS,1975-12-22
21,두산상사,000090.KS,1989-01-26
22,라이프주택,010530.KS,1977-06-04
23,마이다스성일,035590.KS,1999-08-09
24,미성건설,028400.KS,1978-07-18
25,보람은행,008890.KS,1974-07-15
26,보루네오가구,004740.KS,1988-09-22
27,삼보증권,029150.KS,1975-09-30
28,삼성신약,003400.KS,1989-05-31
29,삼양제넥스,003940.KS,1987-06-26
30,서울교통공사,000730.KS,1969-02-07
31,세원화성,007910.KS,1996-12-24
32,송원칼라,011450.KS,1996-01-30
33,스마텔,004190.KS,1977-06-22
34,신승기업,028980.KS,1978-02-08
35,신정제지,018690.KS,1992-01-23
36,신한은행,000010.KS,1956-03-03
37,신호전자,008190.KS,1989-08-30
38,신호페이퍼,012190.KS,1984-02-06
39,아시아7호,082260.KS,2005-03-16
40,아시아퍼시픽11호,083580.KS,2005-08-23
41,아시아퍼시픽12호,083590.KS,2005-08-23
42,아시아퍼시픽15호,083620.KS,2005-08-05
43,알바트로스,034180.KS,1999-04-29
44,알앤엘바이오,003190.KS,1976-06-30
45,에스지신성건설,001970.KS,1976-03-24
46,에이치비이에너지,017300.KS,1995-11-10
47,엘아이지건설(주),012720.KS,1989-08-22
48,연합과기,900030.KS,2008-12-04
49,영풍산업,002850.KS,1977-06-29
50,우성건설,008640.KS,1989-12-22
51,우진건설산업,029110.KS,1977-12-24
52,우진전기,012050.KS,1989-06-26
53,웅진에너지,103130.KS,2010-06-30
54,유리이에스,007050.KS,1975-12-27
55,이지닷컴,012260.KS,1987-09-23
56,장기은행,005020.KS,1969-05-13
57,제일종금,012500.KS,1978-06-30
58,제일화재해상보험,000610.KS,1976-06-05
59,조선맥주,034380.KS,1956-10-01
60,중앙제지,005600.KS,1990-03-09
61,중앙종금,008990.KS,1974-09-09
62,지비베트남1,094950.KS,2007-05-08
63,캠브리지코오롱,004620.KS,1988-05-19
64,케니상사,028560.KS,1991-02-19
65,코리아01호,090970.KS,2006-07-21
